Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,1560.199951,1576.250000,1515.000000,1520.849976,1514.271729,229976
2020-09-08,1520.849976,1530.000000,1497.000000,1499.949951,1493.462036,113468
2020-09-09,1484.949951,1513.650024,1464.099976,1491.099976,1484.650391,83095
2020-09-10,1492.000000,1519.650024,1487.699951,1497.500000,1491.022705,48443
2020-09-11,1506.000000,1540.000000,1473.650024,1524.199951,1517.607178,97579
2020-09-14,1528.000000,1613.800049,1528.000000,1592.650024,1585.761230,218018
2020-09-15,1609.449951,1640.500000,1604.000000,1618.900024,1611.897705,137386
2020-09-16,1631.349976,1669.900024,1625.000000,1646.199951,1639.079468,87116
2020-09-17,1641.000000,1697.849976,1617.000000,1668.050049,1660.835083,119311
2020-09-18,1670.000000,1687.000000,1638.000000,1673.050049,1665.813477,58677
2020-09-21,1666.000000,1683.900024,1663.000000,1665.000000,1657.798218,758773
2020-09-22,1670.000000,1670.000000,1575.000000,1628.250000,1621.207153,136652
2020-09-23,1674.800049,1685.300049,1612.000000,1625.099976,1618.070801,224951
2020-09-24,1609.949951,1619.949951,1573.300049,1598.949951,1592.033813,98907
2020-09-25,1600.000000,1615.000000,1561.000000,1591.199951,1584.317383,314574
2020-09-28,1599.000000,1649.800049,1599.000000,1641.300049,1634.200806,81066
2020-09-29,1649.000000,1665.000000,1620.000000,1629.800049,1622.750488,199797
2020-09-30,1635.000000,1635.000000,1601.300049,1618.050049,1611.051392,168497
2020-10-01,1620.000000,1635.849976,1580.500000,1586.949951,1580.085815,191018
2020-10-05,1602.000000,1609.900024,1574.050049,1588.800049,1581.927856,294527
2020-10-06,1604.000000,1628.599976,1603.050049,1614.500000,1607.516602,56944
2020-10-07,1622.699951,1628.000000,1565.000000,1599.900024,1592.979858,58763
2020-10-08,1639.000000,1676.000000,1620.250000,1631.949951,1624.891113,493401
2020-10-09,1642.000000,1674.000000,1614.000000,1630.050049,1622.999390,136185
2020-10-12,1634.000000,1670.000000,1626.000000,1647.900024,1640.772217,228325
2020-10-13,1646.949951,1879.400024,1646.900024,1809.949951,1802.121216,1800294
2020-10-14,1792.900024,1858.250000,1751.000000,1792.949951,1785.194702,902383
2020-10-15,1799.949951,1832.750000,1712.550049,1738.849976,1731.328735,361799
2020-10-16,1750.000000,1764.949951,1705.599976,1727.949951,1720.475952,205114
2020-10-19,1745.000000,1780.000000,1694.199951,1754.099976,1746.512817,165268
2020-10-20,1754.000000,1796.650024,1744.099976,1749.800049,1742.231445,469825
2020-10-21,1750.000000,1751.050049,1681.449951,1697.550049,1690.207520,261869
2020-10-22,1703.949951,1764.699951,1694.449951,1747.800049,1740.240112,216392
2020-10-23,1763.199951,1773.000000,1720.000000,1733.949951,1726.449951,77683
2020-10-26,1746.199951,1796.900024,1723.449951,1751.849976,1751.849976,190341
2020-10-27,1742.000000,1767.699951,1720.000000,1754.500000,1754.500000,81737
2020-10-28,1761.000000,1784.199951,1729.500000,1755.050049,1755.050049,111345
2020-10-29,1740.000000,1744.000000,1685.000000,1698.050049,1698.050049,187575
2020-10-30,1699.900024,1723.650024,1651.300049,1667.349976,1667.349976,85112
